"hand_breadth","hand_circumference","hand_length","Gender","Weight","Height"
"90","214","193","Male","81.65","180.34"
"86","203","195","Male","72.57","172.72"
"93","220","203","Male","92.99","172.72"
"91","217","194","Male","79.38","167.64"
"94","222","218","Male","96.62","195.58"
"85","203","190","Male","79.38","175.26"
"93","227","220","Male","113.4","182.88"
"88","210","198","Male","95.71","187.96"
"93","226","197","Male","99.79","177.8"
"88","208","200","Male","72.57","182.88"
"89","212","200","Male","88.45","177.8"
"88","203","194","Male","70.31","175.26"
"94","225","210","Male","104.33","182.88"
"91","219","194","Male","113.4","190.5"
"90","212","184","Male","90.72","172.72"
"88","220","203","Male","88.9","175.26"
"85","205","188","Male","77.11","170.18"
"90","217","203","Male","97.52","177.8"
"85","199","179","Male","75.75","177.8"
"92","221","198","Male","91.63","177.8"
"88","210","195","Male","74.84","180.34"
"88","206","185","Male","73.94","167.64"
"86","205","180","Male","79.38","167.64"
"98","232","227","Male","97.52","200.66"
"92","218","194","Male","96.16","177.8"
"82","192","181","Male","61.23","162.56"
"94","221","199","Male","104.33","185.42"
"84","197","192","Male","79.83","180.34"
"90","214","193","Male","80.74","175.26"
"88","212","196","Male","90.72","185.42"
"91","220","192","Male","76.2","190.5"
"89","215","201","Male","92.99","180.34"
"82","197","187","Male","68.04","165.1"
"88","211","195","Male","89.81","187.96"
"88","205","193","Male","68.49","180.34"
"83","198","194","Male","88","180.34"
"79","188","183","Male","68.04","172.72"
"92","219","197","Male","124.74","187.96"
"84","199","210","Male","77.11","172.72"
"92","218","196","Male","87.54","175.26"
"82","195","184","Male","61.23","177.8"
"86","206","189","Male","85.28","170.18"
"93","223","206","Male","79.38","185.42"
"85","210","190","Male","86.18","172.72"
"87","212","198","Male","97.52","177.8"
"86","206","190","Male","65.77","167.64"
"89","211","200","Male","70.31","175.26"
"85","205","183","Male","83.91","175.26"
"98","228","212","Male","100.7","190.5"
"84","201","184","Male","86.18","167.64"
"94","226","206","Male","108.86","180.34"
"94","221","203","Male","83.91","185.42"
"81","196","187","Male","73.03","165.1"
"91","217","185","Male","97.52","177.8"
"93","222","190","Male","78.47","170.18"
"97","234","213","Male","140.61","182.88"
"89","208","196","Male","66.68","180.34"
"83","199","187","Male","86.18","177.8"
"86","208","189","Male","99.79","172.72"
"88","205","205","Male","97.52","190.5"
